time,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply
2022-01-24,910249153,949619299,427720,976712,270712,705366863,23230,24.9197611925267,720252,197634340.12629,26643185256535.5,579.006711409396,1216134,18939081
2022-01-25,910632796,950038880,419582,897415,265128,705631991,21219,21.3993099022529,720404,205557613.728902,26643185256535.5,556.688741721854,1072904,18940087
2022-01-26,911003205,950460522,421642,885174,261070,705893061,21287,15.8920599544897,720534,173715844.528026,26643185256535.5,658.728682170542,1240494,18940925
2022-01-27,911401393,950873942,413420,912466,255925,706148986,19534,15.5917947824791,720665,174581730.007647,26643185256535.5,655.461538461539,1266465,18941768
2022-01-28,911806635,951303954,430012,955985,264609,706413595,20181,16.0468891414501,720819,205137041.626373,26643185256535.5,557.830065359477,1189178,18942625
2022-01-29,912148029,951687211,383258,832877,231038,706644633,17234,16.9214008900817,720968,198733594.410134,26643185256535.5,575.804054054054,1044287,18943556
2022-01-30,912458991,952041776,354565,783141,207173,706851806,16193,18.2043945991034,721114,195009559.199198,26643185256535.5,586.8,1048152,18944468
2022-01-31,912890377,952461430,419654,999813,263410,707115216,20572,14.9249421573489,721257,190165814.600794,26643185256535.5,601.746478873239,1425218,18945368
2022-02-01,913382939,952892170,430741,1063484,272984,707388200,21172,14.2726232174545,721411,203671811.134311,26643185256535.5,561.843137254902,1337182,18946325
2022-02-02,913823266,953330771,438601,981122,278985,707667185,20322,11.9543310266792,721564,203027916.323955,26643185256535.5,563.625,1190933,18947293
2022-02-03,914234794,953756143,425372,937908,265344,707932529,19509,13.5989458267956,721711,194720454.118427,26643185256535.5,587.671232876712,1182716,18948200
2022-02-04,914542741,954160733,404590,890327,247946,708180475,19294,18.0671761157781,721841,173205850.912339,26684698822067.7,661.697674418604,1212899,18949081
2022-02-05,914929878,954581093,420361,961340,258646,708439121,18858,13.6497999131641,721960,158354078.811678,26690525287405.5,723.915254237288,1428582,18949762
2022-02-06,915377939,954941778,360685,913200,219196,708658317,16308,13.8976240861285,722116,205872163.061159,26690525287405.5,556.825806451613,1086566,18950731
2022-02-07,915756738,955357794,416016,933433,262034,708920351,22948,18.0104709423418,722252,180795298.780732,26690525287405.5,634.059259259259,1220094,18951581
2022-02-08,916201153,955792081,434287,1024351,276850,709197201,23752,43.1899544036393,722406,204614489.174241,26690525287405.5,560.248366013071,1269141,18952606
2022-02-09,916640386,956215814,423733,1005608,265804,709463005,21082,20.2723573052356,722546,185415715.026217,26690525287405.5,618.258992805756,1412872,18953425
2022-02-10,917080606,956634727,418913,1029618,260813,709723818,21476,20.5440744437431,722693,194560759.91863,26690525287405.5,589.198630136986,1389048,18954337
2022-02-11,917480654,957053790,419063,984285,258595,709982413,20452,15.1557355190198,722835,191252639.614359,26690525287405.5,599.390070921986,1526755,18955312
2022-02-12,918082559,957434392,380602,1088876,228189,710210602,16009,13.9644703653631,723022,249191814.169099,26690525287405.5,460.02688172043,1299513,18956412
2022-02-13,918431285,957822288,387896,827179,208977,710419579,14425,15.736332620481,723180,209648380.443433,26690525287405.5,546.796178343949,908228,18957381
2022-02-14,918819850,958224951,402663,904274,247592,710667171,18672,15.9855627211914,723333,209906034.740156,26690525287405.5,546.125,1058443,18958437
2022-02-15,919303454,958661608,436658,1022494,273623,710940794,19767,12.5193261407471,723508,236282290.278251,26690525287405.5,485.16091954023,1109690,18959431
2022-02-16,919696373,959104600,442992,930742,266788,711207582,19363,14.6674836656207,723664,212091799.055618,26690525287405.5,540.496774193549,1062859,18960406
2022-02-17,920094807,959535862,431262,938318,255573,711463155,19458,14.3376092803932,723821,217682930.00783,27324773218056.7,539.128205128205,1072667,18961387
2022-02-18,920504062,959961451,425589,950177,261055,711724210,20795,15.0237475569129,723955,188884885.492184,27967152532434.2,635.932330827068,1296436,18962293
2022-02-19,920907683,960327510,366059,859806,220673,711944883,16285,14.6061507068348,724104,208267022.954571,27967152532434.2,576.75,1051747,18963231
2022-02-20,921208026,960674197,346687,745783,200535,712145418,15352,17.0124371817363,724248,202352269.925947,27967152532434.2,593.608391608392,903767,18964056
2022-02-21,921585401,961066011,391814,882870,237402,712382820,18842,21.0083050805344,724371,177461268.977984,27967152532434.2,676.868852459016,1303794,18964831
2022-02-22,921989022,961486495,420484,909069,260265,712643085,19401,18.2769099105897,724523,211125815.723971,27967152532434.2,568.940397350993,1097987,18965787
2022-02-23,922363700,961890089,403594,863872,251275,712894360,17720,14.3151198340765,724673,209015541.853929,27967152532434.2,574.684563758389,1037381,18966712
2022-02-24,922780648,962318343,428254,956898,254139,713148499,22107,16.8538630331461,724805,185824805.666876,27967152532434.2,646.404580152672,1313897,18967625
2022-02-25,923178926,962756416,438073,942391,260340,713408839,20994,16.6065533849745,724939,185593405.244525,27967152532434.2,647.210526315789,1293635,18968462
2022-02-26,923534391,963130820,374404,816478,220423,713629262,15948,14.1876274219135,725064,178860794.724011,27967152532434.2,671.572580645162,1165299,18969156
2022-02-27,923857436,963506188,375368,792012,211164,713840426,16246,13.942911547245,725200,188550756.845942,27967152532434.2,637.059259259259,1020711,18970006
2022-02-28,924265493,963948134,441946,979415,270918,714111344,22854,15.9532464563165,725354,214817360.667482,27967152532434.2,559.16339869281,1168960,18971018
2022-03-01,924708372,964401582,453448,1066006,280634,714391978,23689,17.7725700255123,725516,226563402.185347,27967152532434.2,530.173913043478,1282074,18972037
2022-03-02,925205683,964865900,464318,1100872,288657,714680635,21867,12.5738807990587,725652,189697726.343502,27967152532434.2,633.207407407408,1522395,18972831
2022-03-03,925657951,965315799,449899,1017862,268244,714948879,20317,14.7077521755886,725800,207082886.546914,27851682002895.7,577.65306122449,1270955,18973762
2022-03-04,926078193,965747795,431996,966182,262101,715210980,20042,13.5644345537452,725939,190277482.473084,27550332084343.8,621.869565217391,1317418,18974775
