time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume,high,low,open,close,volumefrom,volumeto
2022-02-06 18:00:00,126322818.44,925096518.05,1051419336.49,99581793.94,700786188.17,800367982.1,258456561.17,7744717703.93,8003174265.1,60033.1,42671.81,41535.39,41623.59,42412.41,3133.6,132391483.7
2022-02-06 19:00:00,118670410.58,621449289.3,740119699.89,96495829.97,479900914.69,576396744.66,245639070.66,7534216430.96,7779855501.62,48335.23,42504.91,41689.77,42412.41,41868.06,2465.24,103553840.33
2022-02-06 20:00:00,79653413.3,432982782.72,512636196.02,65865811.34,323204885.47,389070696.81,172755226.84,7159918005.1,7332672810.58,34762.05,42294.11,41749.41,41868.06,42136.86,1638.55,68854084.77
2022-02-06 21:00:00,107180853.16,634513921.71,741694774.87,86889457.88,468079143.65,554968601.53,223752779.29,5590758612.74,5814511392.03,42749.7,42682.93,42128.75,42136.86,42370.84,1540.63,65413519.04
2022-02-06 22:00:00,109741774.01,572658991.51,682400765.53,86429556.53,431647919.73,518077047.56,221217206.38,1818905985.26,2040123191.64,44096.83,42971.86,42367.9,42370.84,42869.89,2390.7,102232928.34
2022-02-06 23:00:00,101950628.73,388310056.36,490260685.1,80024559.49,298930368.28,378954927.77,209200082.54,1172668605.28,1381868687.82,37795.53,42937.18,42731.85,42869.89,42860.35,1787.6,76589853.0
2022-02-07 00:00:00,107676804.19,449472552.47,557149356.67,84075915.95,333671112.1,417746599.79,217006287.26,1279548614.15,1496554901.41,39438.21,43008.38,42734.55,42860.35,42826.61,1470.29,63014402.13
2022-02-07 01:00:00,108258663.15,272532546.72,380791209.87,85230877.85,199141644.41,284372522.26,211810948.87,891287665.75,1103098614.62,32188.11,42858.78,42707.23,42826.61,42793.03,606.7,25955634.29
2022-02-07 02:00:00,93340242.21,255944965.54,349285207.76,72630990.73,188136653.79,260767644.51,185436432.54,901326496.5,1086762929.03,29811.74,42798.76,42596.71,42793.03,42765.62,568.56,24291405.7
2022-02-07 03:00:00,99859954.64,295785765.49,395645720.13,79837654.28,219061326.94,298898554.87,200667687.78,1010342961.12,1211011075.25,32881.57,42791.96,42570.01,42765.62,42635.11,787.56,33594701.22
2022-02-07 04:00:00,109856651.86,375928440.37,485785092.24,88100480.29,284764452.03,372864932.31,225620406.16,1159425296.91,1385045703.07,38137.39,42661.4,42273.64,42635.11,42454.38,1023.17,43442372.53
2022-02-07 05:00:00,83767706.43,261036725.31,344804005.8,69016514.26,198221061.59,267238001.79,172308508.83,916062579.01,1088371087.84,27017.38,42675.4,42398.79,42454.38,42594.11,590.56,25129899.81
2022-02-07 06:00:00,89729018.28,301272321.2,391001767.1,72233756.21,233512336.94,305746093.15,189080366.54,972185880.32,1161266246.87,29946.2,42779.74,42592.05,42594.11,42762.11,780.65,33344975.46
2022-02-07 07:00:00,92737335.75,326112084.47,418849420.21,72111112.72,245005008.85,317116548.39,188823455.71,1035955316.77,1224778772.48,31985.09,42817.41,42524.5,42762.11,42681.42,1063.06,45355067.53
2022-02-07 08:00:00,96222258.13,335290791.69,431513049.83,75927531.14,241923651.06,317851182.2,196045974.5,2951968274.15,3148014248.64,33779.95,42917.03,42651.85,42681.42,42843.9,1004.65,43003442.86
2022-02-07 09:00:00,156607096.21,1021203158.64,1177810254.85,124047630.51,770289453.25,894337083.76,304326790.57,7742697452.4,8047024242.96,70804.57,43486.23,42812.89,42843.9,43467.68,3702.26,159756922.37
2022-02-07 10:00:00,195284970.69,978658537.34,1173943946.86,153450133.91,753598867.54,907049001.45,377056812.08,7523111860.77,7900168672.85,77553.55,43937.25,43157.31,43467.68,43883.77,3741.79,163025163.96
2022-02-07 11:00:00,173715138.09,931160253.74,1104874953.65,142318349.46,686683593.27,829001942.73,348242670.06,7759435521.04,8107678191.1,76498.39,44123.95,43543.19,43883.77,43818.44,3665.71,160537957.97
2022-02-07 12:00:00,132790207.48,586563574.89,719353782.37,108710253.37,425023270.4,533733523.76,270783327.61,6706524313.8,6977307641.41,48751.17,44336.17,43651.73,43818.44,44249.98,2343.91,103041777.62
2022-02-07 13:00:00,148733527.89,800289661.14,949023189.03,120071234.25,626428719.11,746499953.36,298970978.3,7131754998.81,7430725977.11,60219.04,44504.51,43812.21,44249.98,44103.3,3526.56,155720207.21
2022-02-07 14:00:00,119349426.55,572355515.82,691704942.37,98431886.64,438669985.41,537102314.95,246837511.83,7240126184.39,7486963696.22,46694.96,44518.11,44005.27,44103.3,44289.61,2278.27,100927386.78
2022-02-07 15:00:00,110570466.96,530887807.8,641458274.76,88759216.8,410778397.44,499537614.24,231961307.04,7169731357.68,7401692664.72,49719.82,44466.4,43835.07,44289.61,44172.0,2349.71,103798787.18
2022-02-07 16:00:00,100662047.17,417379843.72,518041890.89,81754732.93,312928837.8,394683570.73,217258180.5,6993257313.03,7210515493.53,37711.75,44269.4,43874.34,44172.0,44093.55,1504.29,66231500.67
2022-02-07 17:00:00,96928173.95,249258052.27,346185785.18,77640891.9,175904546.18,253545438.08,204582530.68,5322375560.75,5526958091.43,28762.1,44195.47,44007.81,44093.55,44104.37,640.49,28253653.4
2022-02-07 18:00:00,98537402.64,325278958.45,423816361.09,77802081.8,238608168.3,316410250.09,207168553.32,6744861481.91,6952029596.62,34334.77,44222.75,43770.74,44104.37,43861.07,954.3,41909046.37
2022-02-07 19:00:00,146153978.74,485760651.69,631914630.42,119007774.17,350063860.0,469071634.17,294324964.01,6761832719.34,7056157683.35,50970.13,43967.58,43591.65,43861.07,43886.13,1417.2,62049522.18
2022-02-07 20:00:00,101961045.51,257205193.18,359166238.69,83938904.06,198469251.54,282408155.6,219980857.62,6819391598.55,7039372456.17,34619.9,44107.41,43841.8,43886.13,44081.16,793.96,34934325.02
